City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Pankrushikha,RU,53.8319,80.3406,29.93,87,23,5.17,few clouds
182,Airai,TL,-8.9266,125.4092,71.96,70,100,0.83,overcast clouds
183,Reforma,MX,18.1,-91.0167,70.74,87,83,5.57,broken clouds
184,Los Chiles,CR,11.0333,-84.7167,74.03,95,100,3.56,overcast clouds
185,Kudahuvadhoo,MV,2.6708,72.8944,80.91,77,100,17.67,overcast clouds
186,Eucaliptus,BO,-17.5833,-67.5167,45.59,64,3,14.43,clear sky
187,Valley,US,45.1277,-116.1262,50.61,81,38,5.55,scattered clouds
188,Fiditi,NG,7.7136,3.9172,71.06,98,100,2.19,overcast clouds
189,Alofi,NU,-19.0595,-169.9187,78.69,65,13,20.85,few clouds
190,Gasa,PS,31.5,34.4667,78.06,84,0,6.22,clear sky
191,Dalvik,IS,65.9702,-18.5286,46.33,99,100,16.64,overcast clouds
192,Kulhudhuffushi,MV,6.6221,73.07,80.01,82,100,27.47,overcast clouds
193,Zhangye,CN,38.9342,100.4517,67.06,23,0,11.23,clear sky
194,Sibolga,ID,1.7427,98.7792,74.97,94,100,4.16,overcast clouds
195,Geraldton,AU,-28.7667,114.6,72.01,53,0,5.75,clear sky
196,Kodiak,US,57.79,-152.4072,51.31,62,0,5.75,clear sky
197,Port Hedland,AU,-20.3167,118.5667,78.85,61,40,11.5,scattered clouds
198,Bredasdorp,ZA,-34.5322,20.0403,52.34,89,99,4.27,overcast clouds
199,Trincomalee,LK,8.5711,81.2335,80.78,76,100,19.89,overcast clouds
200,Kumano,JP,34.3442,132.5894,74.57,60,0,1.43,clear sky
201,Kirakira,SB,-10.4544,161.9205,84.9,68,21,7.14,few clouds
202,Eyl,SO,7.9803,49.8164,75.63,85,70,14.38,broken clouds
203,Broken Hill,AU,-31.95,141.4333,69.6,33,36,10.36,scattered clouds
204,Lompoc,US,34.6391,-120.4579,70.02,91,100,4.61,mist
205,Edd,ER,13.9297,41.6925,88.7,60,0,1.63,clear sky
206,Souillac,MU,-20.5167,57.5167,70.18,68,40,8.05,scattered clouds
207,Sayyan,YE,15.1718,44.3244,58.28,26,1,4.25,clear sky
208,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,41,20,13.42,few clouds
209,Blagoyevo,RU,63.3667,47.9167,40.44,98,100,9.98,overcast clouds
210,Katherine,AU,-14.4667,132.2667,95.34,26,96,5.64,moderate rain
211,Yurino,RU,56.2942,46.3039,47.3,96,80,6.2,broken clouds
212,Lishui,CN,28.4604,119.9103,88.59,55,6,2.51,clear sky
213,Jawhar,SO,2.7809,45.5005,73.35,80,4,8.37,clear sky
214,Tiarei,PF,-17.5333,-149.3333,82.42,67,10,4.23,clear sky
215,Pemberton,CA,50.3164,-122.8027,73.09,59,65,0.2,broken clouds
216,Marsh Harbour,BS,26.5412,-77.0636,81.23,75,47,4.41,scattered clouds
217,Cabo San Lucas,MX,22.8909,-109.9124,86.31,65,0,3.44,clear sky
218,Gamba,GA,-2.65,10.0,74.88,89,100,5.39,overcast clouds
219,Nevsehir,TR,38.9167,34.6667,52.81,82,0,4.61,clear sky
220,Tual,ID,-5.6667,132.75,82.13,74,94,5.99,overcast clouds
221,Arraial Do Cabo,BR,-22.9661,-42.0278,64.36,82,0,5.75,clear sky
222,Nalut,LY,30.3333,10.85,85.64,23,98,8.08,overcast clouds
223,Arusha,TZ,-3.3667,36.6833,56.46,91,91,4.32,overcast clouds
224,Bud,US,39.447,-86.1758,59.02,67,0,8.05,clear sky
225,Devonport,AU,-41.1667,146.35,57.09,48,2,5.84,clear sky
